Date first added,Symbol,Security,SEC filings,GICS Sector,GICS Sub-Industry,Headquarters Location,CIK,Founded
1979-12-31,WBA,Walgreens Boots Alliance,reports,Consumer Staples,Drug Retail,"Deerfield, Illinois",1618921,2014
1976-06-30,DIS,The Walt Disney Company,reports,Communication Services,Movies & Entertainment,"Burbank, California",1744489,1923
2008-10-31,WEC,WEC Energy Group,reports,Utilities,Electric Utilities,"Milwaukee, Wisconsin",783325,1896
1976-06-30,WFC,Wells Fargo,reports,Financials,Diversified Banks,"San Francisco, California",72971,1852
2009-01-30,WELL,Welltower,reports,Real Estate,Health Care REITs,"Toledo, Ohio",766704,1970
2020-05-22,WST,West Pharmaceutical Services,reports,Health Care,Health Care Supplies,"Exton, Pennsylvania",105770,1923
2009-07-01,WDC,Western Digital,reports,Information Technology,"Technology Hardware, Storage & Peripherals","San Jose, California",106040,1970
1975-03-31,WMB,Williams Companies,reports,Energy,Oil & Gas Storage & Transportation,"Tulsa, Oklahoma",107263,1908
2016-01-05,WLTW,Willis Towers Watson,reports,Financials,Insurance Brokers,"London, England",1140536,2016
2008-11-14,WYNN,Wynn Resorts,reports,Consumer Discretionary,Casinos & Gaming,"Paradise, Nevada",1174922,2002
1957-03-04,XEL,Xcel Energy,reports,Utilities,Multi-Utilities,"Minneapolis, Minnesota",72903,1909
1999-11-08,XLNX,Xilinx,reports,Information Technology,Semiconductors,"San Jose, California",743988,1984
2011-11-01,XYL,Xylem,reports,Industrials,Industrial Machinery,"White Plains, New York",1524472,2011
1997-10-06,YUM,Yum! Brands,reports,Consumer Discretionary,Restaurants,"Louisville, Kentucky",1041061,1997
2019-12-23,ZBRA,Zebra Technologies,reports,Information Technology,Electronic Equipment & Instruments,"Lincolnshire, Illinois",877212,1969
2001-08-07,ZBH,Zimmer Biomet,reports,Health Care,Health Care Equipment,"Warsaw, Indiana",1136869,1927
2001-06-22,ZION,Zions Bancorp,reports,Financials,Regional Banks,"Salt Lake City, Utah",109380,1873
2013-06-21,ZTS,Zoetis,reports,Health Care,Pharmaceuticals,"Parsippany, New Jersey",1555280,1952
